X_SbBe70V	Y_SbBe70V	ErrorX_SbBe70V	ErrorY_SbBe70V	X_Sb70V	Y_Sb70V	ErrorX_Sb70V	ErrorY_Sb70V	X_YBe70V	Y_YBe70V	ErrorX_YBe70V	ErrorY_YBe70V	X_Y70V	Y_Y70V	ErrorX_Y70V	ErrorY_Y70V	X_YBe25V	Y_YBe25V	ErrorX_YBe25V	ErrorY_YBe25V	X_Y25V	Y_Y25V	ErrorX_Y25V	ErrorY_Y25V
216.75	0.902161	0	0.00142688	216.75	0.947952	0	0.00215697	55.5	0.906307	0	0.00515172	55.5	0.898012	0	0.00943066	54.75	0.922811	0	0.0077494	55.75	0.926973	0	0.00794198
220.75	0.902963	0	0.00141885	220.75	0.94883	0	0.00214208	56.5	0.906482	0	0.00514798	56.5	0.898302	0	0.00942506	55.75	0.922945	0	0.00775022	56.75	0.927153	0	0.00794713
224.75	0.903777	0	0.00141076	224.75	0.949706	0	0.00212701	57.5	0.906652	0	0.0051444	57.5	0.898599	0	0.00941894	56.75	0.923073	0	0.00775223	57.75	0.927328	0	0.0079542
228.75	0.904599	0	0.00140264	228.75	0.950578	0	0.00211182	58.5	0.906816	0	0.00514098	58.5	0.898902	0	0.00941227	57.75	0.923193	0	0.00775549	58.75	0.927497	0	0.00796309
232.75	0.905427	0	0.00139452	232.75	0.951445	0	0.00209655	59.5	0.906973	0	0.00513774	59.5	0.89921	0	0.00940503	58.75	0.923306	0	0.00776004	59.75	0.927657	0	0.00797367
236.75	0.906258	0	0.00138643	236.75	0.952305	0	0.00208123	60.5	0.907123	0	0.0051347	60.5	0.899522	0	0.00939727	59.75	0.923412	0	0.00776578	60.75	0.927809	0	0.00798584
240.75	0.907091	0	0.00137839	240.75	0.953156	0	0.00206591	61.5	0.907265	0	0.00513187	61.5	0.899836	0	0.00938897	60.75	0.923508	0	0.00777284	61.75	0.927951	0	0.00799931
244.75	0.907923	0	0.00137044	244.75	0.953997	0	0.00205065	62.5	0.907397	0	0.00512926	62.5	0.900152	0	0.00938012	61.75	0.923597	0	0.00778113	62.75	0.928084	0	0.00801393
248.75	0.908751	0	0.0013626	248.75	0.954827	0	0.00203549	63.5	0.907521	0	0.00512688	63.5	0.900469	0	0.00937074	62.75	0.923678	0	0.0077906	63.75	0.928205	0	0.00802939
252.75	0.909575	0	0.00135491	252.75	0.955644	0	0.00202047	64.5	0.907635	0	0.00512474	64.5	0.900785	0	0.00936084	63.75	0.923751	0	0.00780122	64.75	0.928317	0	0.00804538
