X_Result	Y_Result	ErrorXhigh_Result	ErrorXlow_Result	ErrorYhigh_Result	ErrorYlow_Result	X_Uncertainty	Y_ExpStat	Y_SimStat	Y_BkgSys	Y_CutEffSys	Y_FanoSys	Y_NeutronXsecSys
2.39483	0.0973788	0.003305	0.003305	0.0126198	0.0135767	2.39483	0.00479219	0.00489538	0.00877956	0.00911807	0.00976014	0.0137403
2.40145	0.0975454	0.003305	0.003305	0.012642	0.0135988	2.40145	0.00479898	0.00490185	0.0088027	0.00914174	0.00978329	0.013762
2.40807	0.097712	0.003305	0.003305	0.0126643	0.0136209	2.40807	0.00480582	0.00490837	0.00882588	0.00916545	0.00980648	0.0137836
2.41468	0.0978785	0.003305	0.003305	0.0126866	0.0136431	2.41468	0.00481269	0.00491493	0.00884909	0.0091892	0.00982971	0.0138053
2.4213	0.0980449	0.003305	0.003305	0.0127089	0.0136653	2.4213	0.00481961	0.00492153	0.00887233	0.00921297	0.00985296	0.0138271
2.42792	0.0982114	0.003305	0.003305	0.0127313	0.0136875	2.42792	0.00482656	0.00492818	0.00889561	0.00923678	0.00987625	0.0138489
2.43453	0.0983778	0.003305	0.003305	0.0127537	0.0137098	2.43453	0.00483356	0.00493488	0.00891891	0.00926063	0.00989957	0.0138707
2.44115	0.0985442	0.003305	0.003305	0.0127762	0.0137321	2.44115	0.0048406	0.00494161	0.00894224	0.0092845	0.00992292	0.0138926
2.44777	0.0987105	0.003305	0.003305	0.0127987	0.0137545	2.44777	0.00484768	0.00494839	0.00896561	0.00930841	0.0099463	0.0139145
2.45438	0.0988768	0.003305	0.003305	0.0128213	0.0137769	2.45438	0.0048548	0.00495521	0.008989	0.00933234	0.00996972	0.0139364
2.461	0.0990431	0.003305	0.003305	0.0128439	0.0137993	2.461	0.00486197	0.00496208	0.00901243	0.00935631	0.00999316	0.0139584
2.46762	0.0992093	0.003305	0.003305	0.0128665	0.0138218	2.46762	0.00486917	0.00496899	0.00903588	0.00938031	0.0100166	0.0139805
2.47423	0.0993755	0.003305	0.003305	0.0128892	0.0138443	2.47423	0.00487641	0.00497594	0.00905937	0.00940434	0.0100401	0.0140026
2.48085	0.0995417	0.003305	0.003305	0.0129119	0.0138669	2.48085	0.0048837	0.00498294	0.00908288	0.0094284	0.0100637	0.0140247
2.48747	0.0997079	0.003305	0.003305	0.0129347	0.0138895	2.48747	0.00489102	0.00498998	0.00910642	0.00945249	0.0100873	0.0140469
2.49408	0.099874	0.003305	0.003305	0.0129575	0.0139121	2.49408	0.00489839	0.00499706	0.00912999	0.00947661	0.0101108	0.0140691
2.5007	0.10004	0.003305	0.003305	0.0129804	0.0139348	2.5007	0.00490579	0.00500418	0.00915359	0.00950076	0.0101345	0.0140913
2.50732	0.100206	0.003305	0.003305	0.0130033	0.0139575	2.50732	0.00491323	0.00501134	0.00917722	0.00952494	0.0101581	0.0141136
2.51393	0.100372	0.003305	0.003305	0.0130262	0.0139803	2.51393	0.00492072	0.00501855	0.00920087	0.00954915	0.0101818	0.0141359
2.52055	0.100538	0.003305	0.003305	0.0130492	0.0140031	2.52055	0.00492824	0.00502579	0.00922455	0.00957338	0.0102055	0.0141583
2.52717	0.100704	0.003305	0.003305	0.0130722	0.0140259	2.52717	0.0049358	0.00503308	0.00924826	0.00959765	0.0102293	0.0141807
2.53378	0.10087	0.003305	0.003305	0.0130953	0.0140488	2.53378	0.0049434	0.00504041	0.00927199	0.00962194	0.010253	0.0142031
2.5404	0.101036	0.003305	0.003305	0.0131184	0.0140717	2.5404	0.00495104	0.00504778	0.00929575	0.00964626	0.0102768	0.0142256
2.54702	0.101202	0.003305	0.003305	0.0131415	0.0140947	2.54702	0.00495871	0.00505519	0.00931954	0.0096706	0.0103007	0.0142481
2.55363	0.101368	0.003305	0.003305	0.0131647	0.0141176	2.55363	0.00496643	0.00506265	0.00934335	0.00969498	0.0103245	0.0142707
2.56025	0.101533	0.003305	0.003305	0.0131879	0.0141407	2.56025	0.00497418	0.00507014	0.00936719	0.00971938	0.0103484	0.0142933
2.56687	0.101699	0.003305	0.003305	0.0132112	0.0141637	2.56687	0.00498197	0.00507767	0.00939105	0.00974381	0.0103723	0.0143159
2.57348	0.101865	0.003305	0.003305	0.0132345	0.0141868	2.57348	0.0049898	0.00508525	0.00941494	0.00976826	0.0103962	0.0143386
2.5801	0.102031	0.003305	0.003305	0.0132578	0.0142099	2.5801	0.00499767	0.00509286	0.00943886	0.00979274	0.0104202	0.0143613
2.58672	0.102196	0.003305	0.003305	0.0132812	0.0142331	2.58672	0.00500557	0.00510051	0.0094628	0.00981725	0.0104442	0.0143841
2.59333	0.102362	0.003305	0.003305	0.0133046	0.0142563	2.59333	0.00501351	0.00510821	0.00948676	0.00984178	0.0104682	0.0144069
2.59995	0.102528	0.003305	0.003305	0.0133281	0.0142796	2.59995	0.00502149	0.00511594	0.00951075	0.00986634	0.0104922	0.0144297
2.60657	0.102693	0.003305	0.003305	0.0133516	0.0143028	2.60657	0.00502951	0.00512371	0.00953476	0.00989092	0.0105163	0.0144526
2.61318	0.102859	0.003305	0.003305	0.0133751	0.0143261	2.61318	0.00503756	0.00513152	0.00955879	0.00991552	0.0105404	0.0144755
2.6198	0.103024	0.003305	0.003305	0.0133987	0.0143495	2.6198	0.00504564	0.00513937	0.00958285	0.00994015	0.0105645	0.0144984
2.62642	0.10319	0.003305	0.003305	0.0134223	0.0143729	2.62642	0.00505377	0.00514726	0.00960693	0.00996481	0.0105886	0.0145214
2.63303	0.103355	0.003305	0.003305	0.0134459	0.0143963	2.63303	0.00506193	0.00515519	0.00963103	0.00998949	0.0106128	0.0145444
2.63965	0.103521	0.003305	0.003305	0.0134696	0.0144197	2.63965	0.00507013	0.00516315	0.00965516	0.0100142	0.010637	0.0145674
2.64627	0.103686	0.003305	0.003305	0.0134933	0.0144432	2.64627	0.00507836	0.00517116	0.00967931	0.0100389	0.0106612	0.0145905
2.65288	0.103852	0.003305	0.003305	0.0135171	0.0144667	2.65288	0.00508663	0.0051792	0.00970348	0.0100637	0.0106854	0.0146136
2.6595	0.104017	0.003305	0.003305	0.0135409	0.0144903	2.6595	0.00509493	0.00518728	0.00972767	0.0100884	0.0107097	0.0146368
2.66612	0.104182	0.003305	0.003305	0.0135647	0.0145138	2.66612	0.00510327	0.00519539	0.00975189	0.0101132	0.010734	0.01466
2.67273	0.104347	0.003305	0.003305	0.0135885	0.0145375	2.67273	0.00511164	0.00520355	0.00977613	0.0101381	0.0107583	0.0146832
2.67935	0.104513	0.003305	0.003305	0.0136124	0.0145611	2.67935	0.00512005	0.00521174	0.00980038	0.0101629	0.0107826	0.0147065
2.68597	0.104678	0.003305	0.003305	0.0136364	0.0145848	2.68597	0.00512849	0.00521997	0.00982466	0.0101878	0.0108069	0.0147297
2.69258	0.104843	0.003305	0.003305	0.0136603	0.0146085	2.69258	0.00513697	0.00522823	0.00984896	0.0102126	0.0108313	0.0147531
2.6992	0.105008	0.003305	0.003305	0.0136843	0.0146322	2.6992	0.00514548	0.00523654	0.00987328	0.0102376	0.0108557	0.0147764
2.70582	0.105173	0.003305	0.003305	0.0137084	0.014656	2.70582	0.00515403	0.00524488	0.00989762	0.0102625	0.0108801	0.0147998
2.71243	0.105339	0.003305	0.003305	0.0137324	0.0146798	2.71243	0.00516261	0.00525325	0.00992198	0.0102874	0.0109046	0.0148233
2.71905	0.105504	0.003305	0.003305	0.0137565	0.0147037	2.71905	0.00517122	0.00526166	0.00994636	0.0103124	0.010929	0.0148467
2.72567	0.105669	0.003305	0.003305	0.0137807	0.0147275	2.72567	0.00517987	0.00527011	0.00997076	0.0103374	0.0109535	0.0148702
2.73228	0.105834	0.003305	0.003305	0.0138048	0.0147515	2.73228	0.00518855	0.00527859	0.00999518	0.0103624	0.010978	0.0148937
2.7389	0.105999	0.003305	0.003305	0.013829	0.0147754	2.7389	0.00519726	0.00528711	0.0100196	0.0103874	0.0110025	0.0149173
2.74552	0.106164	0.003305	0.003305	0.0138533	0.0147994	2.74552	0.00520601	0.00529567	0.0100441	0.0104125	0.0110271	0.0149409
2.75213	0.106329	0.003305	0.003305	0.0138775	0.0148234	2.75213	0.00521479	0.00530426	0.0100686	0.0104376	0.0110516	0.0149645
2.75875	0.106493	0.003305	0.003305	0.0139018	0.0148474	2.75875	0.0052236	0.00531288	0.0100931	0.0104626	0.0110762	0.0149882
2.76537	0.106658	0.003305	0.003305	0.0139262	0.0148714	2.76537	0.00523245	0.00532154	0.0101176	0.0104878	0.0111008	0.0150119
2.77198	0.106823	0.003305	0.003305	0.0139505	0.0148955	2.77198	0.00524132	0.00533023	0.0101421	0.0105129	0.0111254	0.0150356
2.7786	0.106988	0.003305	0.003305	0.0139749	0.0149197	2.7786	0.00525023	0.00533896	0.0101666	0.010538	0.0111501	0.0150593
2.78522	0.107153	0.003305	0.003305	0.0139994	0.0149438	2.78522	0.00525917	0.00534773	0.0101912	0.0105632	0.0111747	0.0150831
2.79183	0.107317	0.003305	0.003305	0.0140238	0.014968	2.79183	0.00526815	0.00535652	0.0102158	0.0105884	0.0111994	0.0151069
2.79845	0.107482	0.003305	0.003305	0.0140483	0.0149922	2.79845	0.00527715	0.00536535	0.0102404	0.0106136	0.0112241	0.0151308
2.80507	0.107647	0.003305	0.003305	0.0140728	0.0150164	2.80507	0.00528619	0.00537422	0.010265	0.0106388	0.0112489	0.0151547
2.81168	0.107812	0.003305	0.003305	0.0140974	0.0150407	2.81168	0.00529525	0.00538312	0.0102897	0.0106641	0.0112736	0.0151786
2.8183	0.107976	0.003305	0.003305	0.014122	0.015065	2.8183	0.00530435	0.00539205	0.0103143	0.0106893	0.0112984	0.0152025
2.82491	0.108141	0.003305	0.003305	0.0141466	0.0150893	2.82491	0.00531348	0.00540101	0.010339	0.0107146	0.0113231	0.0152265
2.83153	0.108305	0.003305	0.003305	0.0141712	0.0151137	2.83153	0.00532264	0.00541001	0.0103637	0.0107399	0.0113479	0.0152505
2.83815	0.10847	0.003305	0.003305	0.0141959	0.0151381	2.83815	0.00533183	0.00541904	0.0103884	0.0107652	0.0113727	0.0152745
2.84476	0.108634	0.003305	0.003305	0.0142206	0.0151625	2.84476	0.00534105	0.00542811	0.0104131	0.0107905	0.0113976	0.0152986
2.85138	0.108799	0.003305	0.003305	0.0142453	0.0151869	2.85138	0.0053503	0.0054372	0.0104378	0.0108159	0.0114224	0.0153227
2.858	0.108963	0.003305	0.003305	0.0142701	0.0152114	2.858	0.00535959	0.00544633	0.0104626	0.0108412	0.0114473	0.0153468
2.86461	0.109128	0.003305	0.003305	0.0142949	0.0152359	2.86461	0.0053689	0.00545549	0.0104873	0.0108666	0.0114722	0.0153709
2.87123	0.109292	0.003305	0.003305	0.0143197	0.0152604	2.87123	0.00537824	0.00546469	0.0105121	0.010892	0.0114971	0.0153951
2.87785	0.109456	0.003305	0.003305	0.0143445	0.0152849	2.87785	0.00538761	0.00547391	0.0105369	0.0109174	0.011522	0.0154193
2.88446	0.109621	0.003305	0.003305	0.0143694	0.0153095	2.88446	0.00539701	0.00548317	0.0105617	0.0109428	0.0115469	0.0154435
2.89108	0.109785	0.003305	0.003305	0.0143943	0.0153341	2.89108	0.00540643	0.00549245	0.0105866	0.0109683	0.0115719	0.0154678
2.8977	0.109949	0.003305	0.003305	0.0144193	0.0153587	2.8977	0.00541589	0.00550177	0.0106114	0.0109937	0.0115968	0.0154921
2.90431	0.110114	0.003305	0.003305	0.0144442	0.0153834	2.90431	0.00542538	0.00551112	0.0106363	0.0110192	0.0116218	0.0155164
2.91093	0.110278	0.003305	0.003305	0.0144692	0.0154081	2.91093	0.00543489	0.0055205	0.0106611	0.0110447	0.0116468	0.0155407
2.91755	0.110442	0.003305	0.003305	0.0144942	0.0154328	2.91755	0.00544443	0.00552991	0.010686	0.0110702	0.0116718	0.0155651
2.92416	0.110606	0.003305	0.003305	0.0145193	0.0154575	2.92416	0.00545401	0.00553936	0.0107109	0.0110957	0.0116968	0.0155895
2.93078	0.11077	0.003305	0.003305	0.0145443	0.0154823	2.93078	0.00546361	0.00554883	0.0107358	0.0111212	0.0117219	0.0156139
2.9374	0.110934	0.003305	0.003305	0.0145694	0.0155071	2.9374	0.00547323	0.00555833	0.0107607	0.0111468	0.0117469	0.0156384
2.94401	0.111098	0.003305	0.003305	0.0145946	0.0155319	2.94401	0.00548289	0.00556786	0.0107857	0.0111723	0.011772	0.0156629
2.95063	0.111262	0.003305	0.003305	0.0146197	0.0155567	2.95063	0.00549257	0.00557742	0.0108106	0.0111979	0.0117971	0.0156874
2.95725	0.111426	0.003305	0.003305	0.0146449	0.0155816	2.95725	0.00550228	0.00558702	0.0108356	0.0112235	0.0118222	0.0157119
2.96386	0.11159	0.003305	0.003305	0.0146701	0.0156064	2.96386	0.00551202	0.00559664	0.0108606	0.0112491	0.0118473	0.0157365
