X_SbBe70V	Y_SbBe70V	ErrorX_SbBe70V	ErrorY_SbBe70V	X_Sb70fit	Y_Sb70fit	ErrorX_Sb70fit	ErrorY_Sb70fit	X_Sb70bkg	Y_Sb70bkg	X_YBe70V	Y_YBe70V	ErrorX_YBe70V	ErrorY_YBe70V	X_Y70fit	Y_Y70fit	ErrorX_Y70fit	ErrorY_Y70fit	X_Y70bkg	Y_Y70bkg	X_YBe25V	Y_YBe25V	ErrorX_YBe25V	ErrorY_YBe25V	X_Y25fit	Y_Y25fit	ErrorX_Y25fit	ErrorY_Y25fit	X_Y25bkg	Y_Y25bkg
12.7351	291.941	0.0965398	31.8534	22.928	250.914	0.193467	0.000000926809	22.928	250.914	133.642	2288.72	1.21559	53.7815	23.9238	2878.23	0.199365	0.00000978727	23.9238	2089.42	78.5985	10863.5	0.710207	228.92	16.443	13359.7	0.134233	0.0000164209	16.443	10887.8
12.9283	243.284	0.0965398	29.078	23.3153	250.492	0.193467	0.000000925253	23.3153	250.492	136.088	2253.33	1.21559	53.3641	24.323	2867.55	0.199365	0.00000896633	24.323	2093.77	80.0265	10694.6	0.710207	227.134	16.7117	13306.9	0.134233	0.0000162881	16.7117	10913.2
13.1215	291.941	0.0965398	31.8534	23.7026	250.731	0.193467	0.000000926133	23.7026	250.731	138.534	2380.97	1.21559	54.8547	24.7221	2857.88	0.199365	0.00000797834	24.7221	2098.81	81.4546	10699.4	0.710207	227.186	16.9804	13254.9	0.134233	0.0000162312	16.9804	10935.9
13.3146	218.956	0.0965398	27.5858	24.09	251.661	0.193467	0.000000929569	24.09	251.661	140.981	2312.73	1.21559	54.0629	25.1212	2849.16	0.199365	0.00000681318	25.1212	2104.38	82.8826	10728.4	0.710207	227.493	17.2492	13202.3	0.134233	0.0000166736	17.2492	10955.5
13.5078	246.76	0.0965398	29.285	24.4773	253.191	0.193467	0.000000935222	24.4773	253.191	143.427	2338.01	1.21559	54.3575	25.5204	2840.98	0.199365	0.00000574721	25.5204	2110.21	84.3106	10704.3	0.710207	227.237	17.5179	13148	0.134233	0.0000173511	17.5179	10971.4
13.701	278.039	0.0965398	31.0857	24.8646	255.142	0.193467	0.000000942426	24.8646	255.142	145.873	2375.92	1.21559	54.7965	25.9195	2832.79	0.199365	0.00000503756	25.9195	2115.95	85.7386	10506.5	0.710207	225.128	17.7867	13091.6	0.134233	0.000017739	17.7867	10983.4
13.8942	232.858	0.0965398	28.4481	25.2519	257.311	0.193467	0.00000095044	25.2519	257.311	148.319	2380.97	1.21559	54.8547	26.3186	2824.08	0.199365	0.00000469866	26.3186	2121.18	87.1666	10791.1	0.710207	228.156	18.0554	13032.9	0.134233	0.0000179632	18.0554	10991.4
14.0873	264.137	0.0965398	30.2986	25.6392	259.551	0.193467	0.000000958712	25.6392	259.551	150.765	2380.97	1.21559	54.8547	26.7177	2814.53	0.199365	0.00000446536	26.7177	2125.53	88.5946	10429.3	0.710207	224.299	18.3241	12972.4	0.134233	0.0000185036	18.3241	10995.6
14.2805	239.809	0.0965398	28.8696	26.0266	261.801	0.193467	0.000000967023	26.0266	261.801	153.211	2264.71	1.21559	53.4986	27.1169	2803.88	0.199365	0.00000415307	27.1169	2128.62	90.0226	10347.3	0.710207	223.416	18.5929	12910.9	0.134233	0.0000196252	18.5929	10996.1
14.4737	257.186	0.0965398	29.8973	26.4139	264.065	0.193467	0.000000975385	26.4139	264.065	155.658	2397.4	1.21559	55.0437	27.516	2791.96	0.199365	0.0000038926	27.516	2130.18	91.4506	10313.5	0.710207	223.051	18.8616	12848.1	0.134233	0.0000210794	18.8616	10993.3
