X_Sb70V	Y_Sb70V	ErrorX_Sb70V	ErrorY_Sb70V	X_Sb70Vmodel	Y_Sb70VCompton	Y_Sb70VEC	Y_Sb70VBkgmodel	X_Y70V	Y_Y70V	ErrorX_Y70V	ErrorY_Y70V	X_Y70VModel	Y_Y70VCompton	Y_Y70VEC	Y_Y70VBkgmodel	X_Y25V	Y_Y25V	ErrorX_Y25V	ErrorY_Y25V	X_Y25VModel	Y_Y25VCompton	Y_Y25VEC	Y_Y25VBkgmodel
16.6267	215.873	0.152868	26.5721	4.33931	266.147	1.80495	271.628	130.626	505.895	1.37479	13.5643	5.95365	406.638	0.00000000172137	378.201	73.1271	999.138	0.762657	25.5937	4.18364	759.048	0	729.393
16.9324	264.935	0.152868	29.4372	4.37793	266.147	1.50038	270.806	133.375	460.433	1.37479	12.9405	5.99297	406.638	7.422E-10	378.084	74.6524	992.582	0.762657	25.5096	4.21018	759.048	0	729.884
17.2382	274.747	0.152868	29.9774	4.41655	266.147	1.22821	269.915	136.125	486.255	1.37479	13.2984	6.03229	406.638	3.14963E-10	377.972	76.1777	966.358	0.762657	25.1704	4.23673	759.048	0	730.377
17.5439	264.935	0.152868	29.4372	4.45516	266.147	0.990117	268.956	138.874	482.255	1.37479	13.2436	6.07162	406.638	1.3155E-10	377.864	77.7031	924.4	0.762657	24.6179	4.26327	759.048	0	730.872
17.8497	258.393	0.152868	29.0715	4.49378	266.147	0.786026	267.937	141.624	482.982	1.37479	13.2535	6.11094	406.638	5.40775E-11	377.762	79.2284	967.669	0.762657	25.1874	4.28981	759.048	0	731.369
18.1554	284.559	0.152868	30.508	4.5324	266.147	0.614505	266.861	144.374	478.618	1.37479	13.1935	6.15026	406.638	2.18793E-11	377.664	80.7537	933.578	0.762657	24.7398	4.31636	759.048	0	731.868
18.4611	235.497	0.152868	27.7536	4.57102	266.147	0.473099	265.737	147.123	491.711	1.37479	13.3728	6.18959	406.638	8.71254E-12	377.57	82.279	929.644	0.762657	24.6876	4.3429	759.048	0	732.368
18.7669	264.935	0.152868	29.4372	4.60964	266.147	0.358688	264.568	149.873	481.891	1.37479	13.2386	6.22891	406.638	3.41466E-12	377.482	83.8043	997.172	0.762657	25.5685	4.36944	759.048	0	732.871
19.0726	281.289	0.152868	30.3321	4.64826	266.147	0.267806	263.362	152.622	485.892	1.37479	13.2934	6.26823	406.638	1.31718E-12	377.397	85.3296	941.445	0.762657	24.8438	4.39599	759.048	0	733.375
19.3783	248.581	0.152868	28.5142	4.68687	266.147	0.196907	262.125	155.372	475.708	1.37479	13.1534	6.30756	406.638	5.00072E-13	377.317	86.8549	915.877	0.762657	24.5041	4.42253	759.048	0	733.881
